id,lot,wafer,die,x,y,lum,std,path,h
1264,OSD190234,5,OSD190234-Brutes-05-17,5,17,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-17.bmp,ygBfUgkSPwtCtOxKd0N1vttP+qa6nTfR66oUR0Kn9nkkS97FpebToIdvddq6Qtm7CBiSMEOqOZ5KOXzzb4rjrA==
1265,OSD190234,5,OSD190234-Brutes-05-18,5,18,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-18.bmp,m3dNrfOlht8RIZYVdmVXgEjmE59LiKEVnCzk6gHm4qs6kDw8DpY5xeXLwFoQFFtEJkbadV2XIxlJ+WCn6jb2NA==
1266,OSD190234,5,OSD190234-Brutes-05-19,5,19,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-19.bmp,0KQcb8fJGDtFgLuElkxF8jMt5//ShE3KZjAK4HgdoFyE50RSW1CUapjrtSq9uxKN3anf9TT/U1ex9uNQySVjlA==
1267,OSD190234,5,OSD190234-Brutes-05-20,5,20,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-20.bmp,Qbri/xiQ7E4mZoaeD4vLSW0poHv7V8lIDElqILndu1B6wIRgqv+rHkhCwyBS+X8Xw5CHnAY7cLFKUABDtR4ZCA==
1268,OSD190234,5,OSD190234-Brutes-05-21,5,21,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-21.bmp,lHcsKtZOWEWSyLdwp1I2tF1Xdw3DKpSFURSXI+vCjUaDmqTqc7UOOqY8+0/YC63FVgMWrn3sGZTesqKOhv05sA==
1269,OSD190234,5,OSD190234-Brutes-05-22,5,22,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-22.bmp,19ebxeo8xeyqVWHblyN4boJHVfwfC8vyGTcNkjwUrvqvcSRRS2ZRY3O68Cl+xWr5AxHrbJ+PXeT8rrtQXHDClw==
1270,OSD190234,5,OSD190234-Brutes-05-23,5,23,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-23.bmp,2zcNcSw/8qnu5MBMEC2tLM5hL4t1Jt3OIIct4zxFWdBXMnbDSczHv0BGcqN9svm1cLrE8KibwJC0WWESOtWB5A==
1271,OSD190234,5,OSD190234-Brutes-05-24,5,24,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-24.bmp,S7UGqLcDDpoXWr6fDLkp5zIs+hco+40LnwlOWiiRcvUDdO9ls4v1MUXR90cKVVp698g6tKTjr8P1KFDBaJnZOw==
1272,OSD190234,5,OSD190234-Brutes-05-25,5,25,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-25.bmp,WE5fQMSOdj1l0MuYkGUe0K/tTOs5PTQLBQcS8WbBwsPOKOeoKUJu05LIQFfV7iDEa1jlbUP+boMA6Li/emlBfw==
1273,OSD190234,5,OSD190234-Brutes-05-26,5,26,-1,-1,img/01-originals/OSD190234/05/OSD190234-Brutes-05-26.bmp,ClFR5xXdyrlEx5DBSMojG+VB5iiPiqrZL9ij6E5p9mqbFFDmvznMqn6J7h7VGd3+FP3TOrXnxiuvd8gBnfnZNA==
1274,OSD190234,6,OSD190234-Brutes-06-01,6,1,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-01.bmp,prHJXoKAed1beqvx+TrCYhdjjn1DO4FTi5Y7CDugavaLt6Iv9d8w+kCMWEuC3rpYAmYfhMgE4tiHGQvgGM5ABg==
1275,OSD190234,6,OSD190234-Brutes-06-02,6,2,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-02.bmp,4FJwSnPGHgC2zMM5LJyohH8roucrFxHMCkVx9a5IRY8G4eR0OVwSQuDdPjus0Yur9u1xPRc2EkzhoZBeYwO94A==
1276,OSD190234,6,OSD190234-Brutes-06-03,6,3,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-03.bmp,0NPPXsRyKBZCft7H5GrYb0k329a/D3k1IWf0uPpAJD3sSxIDa6apQg7mUQcBxOBMgrsAwPNzTm13CGOMPBufKQ==
