id,lot,wafer,die,x,y,lum,std,lummin,lummax,path,h
0,OSD185236,1,OSD185236-Brutes-01-01,1,1,140.87,10.85,104,208,img-small/02-crop/die-0-OSD185236-Brutes-01-01-crop.bmp,HbLIgWeWxPHBn8WkqkzWcWT4Osl8iPmkipTRD1WYWNqh8hHJX7Zpidqb3gzufZrd650034v1JapCMJrZ5pbKUA==
1,OSD185236,1,OSD185236-Brutes-01-02,1,2,142.99,10.51,100,197,img-small/02-crop/die-1-OSD185236-Brutes-01-02-crop.bmp,Dc9xEvX+U9GAgOZA4hwqMN41WU2XQb1MNjSasWRdQ+9E4HLcu8iipwufyyM1QdAC3gYMSxNBcPiinKn8j/27jw==
2,OSD185236,1,OSD185236-Brutes-01-03,1,3,142.81,10.39,97,198,img-small/02-crop/die-2-OSD185236-Brutes-01-03-crop.bmp,xw/FqCrVU0DHwBvuSqKthiHIXo4Au/lGoJjM3Uve87Y6my9BiThcibDzcu0YGi9J2ryVbcUTd++Sbj9QG6RWrQ==
3,OSD185236,1,OSD185236-Brutes-01-04,1,4,142.4,10.89,106,206,img-small/02-crop/die-3-OSD185236-Brutes-01-04-crop.bmp,4RgB0B3UY6uJqOboX1teEZuOpTCEQ9Rt0JVjm7lz53xbbWnaZSanIvyugCbhkNkzrHaVp3o2XPgn1I/KofxoZg==
4,OSD185236,1,OSD185236-Brutes-01-05,1,5,117.52,12.03,76,180,img-small/02-crop/die-4-OSD185236-Brutes-01-05-crop.bmp,u+jpXC8eicoWw7SVAy0IMVy2loWEWuEOkULQqpFSwb4VGTEzf7+X8Kw2yy2JilW68L8oZk/7ZN31dqda6IjNoQ==
5,OSD185236,1,OSD185236-Brutes-01-06,1,6,141.61,9.62,107,199,img-small/02-crop/die-5-OSD185236-Brutes-01-06-crop.bmp,m8ANmWzDF/7kvnzxp3/sAgtTaildL6oVBGNqp9v8q1XIMVvJlePLohAXQ6cNjX6JiHuO96IUEWX4S+5gsUdbXA==
6,OSD185236,1,OSD185236-Brutes-01-07,1,7,153.59,9.77,120,209,img-small/02-crop/die-6-OSD185236-Brutes-01-07-crop.bmp,hWYVlpzkawn5zySxn/ZoD4TVGQfcXeTkgfHuI7wjHUAbXPXNhE5p841tAn0PUg52fIhLu+USyUSaKmPBPUABzQ==
7,OSD185236,1,OSD185236-Brutes-01-08,1,8,152.85,10.09,117,215,img-small/02-crop/die-7-OSD185236-Brutes-01-08-crop.bmp,rvupWUibj5tpi0DtCYZKOYtkOhuOMFt/mEU2MLOWaDPa+mIRkVWHmGOQiQc2UdG3jOfKpwBkDlttYRH8GNBMrA==
8,OSD185236,1,OSD185236-Brutes-01-09,1,9,149.37,10.18,115,211,img-small/02-crop/die-8-OSD185236-Brutes-01-09-crop.bmp,2XHybqB9efUxDe+RAdsJhEKw3JlGC17gTF7V0nHy61SSK6NPYBdGeICMMAqjYJwYA+f/DvMLUdbV5c98i32ppQ==
9,OSD185236,1,OSD185236-Brutes-01-10,1,10,132.48,18.51,0,207,img-small/02-crop/die-9-OSD185236-Brutes-01-10-crop.bmp,yP7dTyFlmH2KedSOKn43BGt4HHbKZjgMJdZ7TnMfOKvVSnK9ZIIOZ6/u3I0OPPcqIajyCl90BFfgr8v1gvPAsw==
