id,lot,wafer,die,x,y,lum,std,lummin,lummax,path,h
1136,OSD190166,12,OSD190166-Brutes-12-19,12,19,138.06,9.09,105,191,img/02-crop/die-1136-OSD190166-Brutes-12-19-crop.bmp,xPcP6KlwYQSlIJ0/9Mo/+mvq9Ewg8xWVt3lh3lY4IYSkB2xw3g7+MeRz8xKZrToVI0FO5LQlkTVJBw6S8MeF2A==
1137,OSD190166,12,OSD190166-Brutes-12-20,12,20,137.73,9.29,101,194,img/02-crop/die-1137-OSD190166-Brutes-12-20-crop.bmp,BNLhE80y6wv1V3U5t4IjaF6vO3esoojYbexvAgGAnTanI8LB470Gy0zrOOUPvxbtj3smKd7gXEsHJyhCjipV9A==
1138,OSD190166,12,OSD190166-Brutes-12-21,12,21,134.51,9.61,100,192,img/02-crop/die-1138-OSD190166-Brutes-12-21-crop.bmp,ivCsOBC9b3hnl0qEgkjP2iHpwq5Y2Hwq81L2ZY2hQWD8il927XvT0nnHiV2CxQwodK3vy61iJEHltXuWcqVjag==
1139,OSD190166,12,OSD190166-Brutes-12-22,12,22,119.37,15.76,0,187,img/02-crop/die-1139-OSD190166-Brutes-12-22-crop.bmp,q9wvraqy8Q5uRYgf2rAlx257XCFn20H55D8/VeA8Rah+12ZOhI9TVpg6fwJV8/fVWRWu1pu1CSLvtNtKvjzliQ==
1140,OSD190166,12,OSD190166-Brutes-12-23,12,23,130.45,12.0,91,193,img/02-crop/die-1140-OSD190166-Brutes-12-23-crop.bmp,9vSMbJpt9gXUqV8aLV8nEF65rlqLZZbJra8p4n3QYZpzb9TURoGpZGfkDW7sdn/f6jYHgIflTUTV21UGGKfFBQ==
1141,OSD190166,12,OSD190166-Brutes-12-24,12,24,130.5,11.86,90,194,img/02-crop/die-1141-OSD190166-Brutes-12-24-crop.bmp,Mp2xkEYDDW6sVJ2VtUn/fiZYAOJL65qfWt9StaDXuQF0XPaRo7wfSa6Tgjx3K/AQIKQoIlDaNxszKMMUaoCDuQ==
1142,OSD190166,12,OSD190166-Brutes-12-25,12,25,128.42,11.83,68,193,img/02-crop/die-1142-OSD190166-Brutes-12-25-crop.bmp,WaZcYFlMJj+F1II/jQiBf1VZOJw+IvPvdLtp+iNhgNuW7MIMfP7jA4QEc8x0/32nNe+VEzFcvpFLgTjdOmRqMg==
1143,OSD190166,12,OSD190166-Brutes-12-26,12,26,127.52,11.11,95,187,img/02-crop/die-1143-OSD190166-Brutes-12-26-crop.bmp,xlRTL6FTMFH/1PU2V+aYg3C0am7Z7g/XX7HRGW3kk0EyD1QuM8H2M00cGNGI7gHc/jaoCX7z+6ZZIbl+aT4CVA==
1144,OSD190234,1,OSD190234-Brutes-01-01,1,1,133.13,11.25,96,204,img/02-crop/die-1144-OSD190234-Brutes-01-01-crop.bmp,4NEUl/3yDzIhSs4epc1WfhuSa7oPRc/0qDj8gknsYy47XL+prEQiD3F1y21J8dx92cGKMCDkYd1xUMwQmG0YFA==
1145,OSD190234,1,OSD190234-Brutes-01-02,1,2,134.79,10.85,91,190,img/02-crop/die-1145-OSD190234-Brutes-01-02-crop.bmp,eZEUhwGTRrabkANTc6xqQDVT/lxQN3UPCQQhR66sbdKRyoPAoPFcUG5pLsZQM2o8epmcb08jTFdRXgX0AOQbow==
1146,OSD190234,1,OSD190234-Brutes-01-03,1,3,134.96,10.77,97,191,img/02-crop/die-1146-OSD190234-Brutes-01-03-crop.bmp,fkE3IKkaAfn5qTa9dqsPwwpssjbNyDhUNkLZ5CJ/c8skoLmeTsTOTLSNhAZacNWjatauzb8ea/OJQX4/DtAvig==
1147,OSD190234,1,OSD190234-Brutes-01-04,1,4,135.26,11.11,99,199,img/02-crop/die-1147-OSD190234-Brutes-01-04-crop.bmp,1et7Nt+REzUIo4s/J1jUVyDdip1PG2V8XtdNYjO3RIFrq+biCV577xSTSKYbkXV2YYkpAPssoj3lE3fnK2HSUw==
1148,OSD190234,1,OSD190234-Brutes-01-05,1,5,111.23,12.12,65,181,img/02-crop/die-1148-OSD190234-Brutes-01-05-crop.bmp,4/cuRWOkAKYzwkhJBCv1t4XLImmb7ph+rfMp+RkBciAK6XL/wVI8DVyAGaNFGMN+OVXo4IjWPNVgkaKG7qJp2A==
1149,OSD190234,1,OSD190234-Brutes-01-06,1,6,132.93,9.93,103,192,img/02-crop/die-1149-OSD190234-Brutes-01-06-crop.bmp,PSarbnHVNychbBXksIjc1zyG9WK7yJr/rSTxMcboJ/oAhe5HAhijKIbRkhtIPxG7s4gQ6H+oaYgNd9l8p7frBw==
1150,OSD190234,1,OSD190234-Brutes-01-07,1,7,143.14,10.18,106,205,img/02-crop/die-1150-OSD190234-Brutes-01-07-crop.bmp,dCxl6Ml0CKTidnfFM4SREc0MtBwdtgxSCTK/nJ6RmrP6bk9g082Q8mlqEHJsaeFSI8m18g3cVn0P3ZyF2fBNhQ==
1151,OSD190234,1,OSD190234-Brutes-01-08,1,8,143.53,10.37,100,205,img/02-crop/die-1151-OSD190234-Brutes-01-08-crop.bmp,Np2AzLOke6f496pbSWKBydKy0BR/QELK9ipjB0DB/qD50PJ4N8SBU6uOx9Jpz1NguNwZJuDpWkTSHeYn5tPRvw==
1152,OSD190234,1,OSD190234-Brutes-01-09,1,9,140.8,10.28,106,201,img/02-crop/die-1152-OSD190234-Brutes-01-09-crop.bmp,TGpZb/MRqVLY+QEAsBQNYtGahdc2LCKZiyQpB/8Fo/Cd0QoKMc4gEokumOsKTgYOWzgnLVSdsEUsk/KijqCjfQ==
1153,OSD190234,1,OSD190234-Brutes-01-10,1,10,126.12,17.29,0,200,img/02-crop/die-1153-OSD190234-Brutes-01-10-crop.bmp,wHA0HIp/9hXuz2ZUmDa5c3qbSFSW+yPlFYL411qMDaW7b/w8tEJHY6Y7fpFns6wnVBfkwW0hpT8g7bS6aHYqhA==
1154,OSD190234,1,OSD190234-Brutes-01-11,1,11,108.06,14.56,64,174,img/02-crop/die-1154-OSD190234-Brutes-01-11-crop.bmp,fN04T+LgRR+RHK8pv+g6I4FSptIRPvwNqsQB3fMaayx1QtmAwG6RE/X772ry7LyYC+k7SukIOB425k2egyQJCw==
1155,OSD190234,1,OSD190234-Brutes-01-12,1,12,134.2,9.62,98,193,img/02-crop/die-1155-OSD190234-Brutes-01-12-crop.bmp,g0/qFjhgFUrjI51XD12CKZE2moDPauyFzyayCClQaNZMUqxedP9vqyLcFChVy3yWCZObHA2ru7MIZssqtH3lOA==
1156,OSD190234,1,OSD190234-Brutes-01-13,1,13,141.22,10.74,107,205,img/02-crop/die-1156-OSD190234-Brutes-01-13-crop.bmp,AGuAj8buAklqX6kSfEJtLknnOZ6+i1CTgM5JUF9RhMzxaaG585i908snt3r6ISLgNPftCd/DC7tHyZV4sREm3g==
1157,OSD190234,1,OSD190234-Brutes-01-14,1,14,141.52,10.97,89,208,img/02-crop/die-1157-OSD190234-Brutes-01-14-crop.bmp,OFdahj+MBYXk4qcqixgBEYdb2bkvOmHkR4Z0jU9AtN3LueSLWIfVQQ2eVqdpUC2FnjGyDSHBCfmJo48+6P9mWg==
1158,OSD190234,1,OSD190234-Brutes-01-15,1,15,139.83,10.4,107,201,img/02-crop/die-1158-OSD190234-Brutes-01-15-crop.bmp,Yxddzl1ETCHO5KfwGkjmm23RH1djsI/k5tx9uKXVqwrPRzcX+RGyLn+ASgvTAJQ4K9TzgEwDa9byanAXqyphHw==
